Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
DEN,DEN @ LAL,05/22/2023,W,240,113,41,85,48.2,12,33,36.4,19,22,86.4,11,29,40,25,3,9,11,20,2,2022-23
LAL,LAL vs. DEN,05/22/2023,L,240,111,40,86,46.5,8,20,40.0,23,26,88.5,8,30,38,20,5,4,6,19,-2,2022-23
BOS,BOS @ MIA,05/21/2023,L,240,102,39,98,39.8,11,42,26.2,13,17,76.5,21,36,57,25,3,3,15,24,-26,2022-23
MIA,MIA vs. BOS,05/21/2023,W,240,128,46,81,56.8,19,35,54.3,17,21,81.0,1,34,35,25,7,4,10,16,26,2022-23
DEN,DEN @ LAL,05/20/2023,W,240,119,44,88,50.0,17,41,41.5,14,19,73.7,5,34,39,30,7,1,6,19,11,2022-23
LAL,LAL vs. DEN,05/20/2023,L,240,108,38,84,45.2,10,32,31.3,22,29,75.9,11,34,45,27,3,2,12,18,-11,2022-23
BOS,BOS vs. MIA,05/19/2023,L,240,105,37,79,46.8,10,35,28.6,21,24,87.5,6,29,35,22,2,9,15,20,-6,2022-23
MIA,MIA @ BOS,05/19/2023,W,240,111,42,92,45.7,9,26,34.6,18,19,94.7,11,34,45,23,9,5,11,17,6,2022-23
DEN,DEN vs. LAL,05/18/2023,W,240,108,39,89,43.8,14,38,36.8,16,18,88.9,11,38,49,27,8,2,17,18,5,2022-23
LAL,LAL @ DEN,05/18/2023,L,240,103,36,82,43.9,8,30,26.7,23,26,88.5,4,36,40,26,10,7,12,19,-5,2022-23
BOS,BOS vs. MIA,05/17/2023,L,240,116,42,81,51.9,10,29,34.5,22,29,75.9,9,25,34,22,6,3,15,18,-7,2022-23
MIA,MIA @ BOS,05/17/2023,W,240,123,46,85,54.1,16,31,51.6,15,19,78.9,7,28,35,20,12,3,15,22,7,2022-23
LAL,LAL @ DEN,05/16/2023,L,240,126,46,84,54.8,11,24,45.8,23,26,88.5,5,25,30,30,6,4,7,21,-6,2022-23
DEN,DEN vs. LAL,05/16/2023,W,240,132,50,91,54.9,15,32,46.9,17,22,77.3,15,32,47,29,5,7,11,21,6,2022-23
BOS,BOS vs. PHI,05/14/2023,W,240,112,41,87,47.1,15,33,45.5,15,18,83.3,7,36,43,18,7,7,8,13,24,2022-23
PHI,PHI @ BOS,05/14/2023,L,240,88,31,83,37.3,8,37,21.6,18,19,94.7,7,30,37,15,4,7,14,14,-24,2022-23
