PLAYER,SEASON,TEAM,Cluster,MIN,전체적인 평점,Salary
Gary Harris,2022-23,ORL,4,24.7,2.3215642326780777,13000000.0
Kevin Love,2022-23,MIA,1,20.0,2.619044682958636,30556968.0
Nick Richards,2022-23,CHA,1,18.7,2.8986434490750788,1782621.0
Georges Niang,2022-23,PHI,4,19.4,2.8020666337823,3465000.0
Damion Lee,2022-23,PHX,1,20.4,3.212560707049717,2133278.0
Grant Williams,2022-23,BOS,0,25.9,2.517468484578432,4306281.0
Jevon Carter,2022-23,MIL,4,22.4,2.94095183692186,6025000.0
Kenrich Williams,2022-23,OKC,5,22.8,2.623968610136702,2000000.0
Jarred Vanderbilt,2022-23,LAL,5,24.1,2.8493512839963846,4374000.0
Ochai Agbaji,2022-23,UTA,1,20.5,2.3071666530173025,3918360.0
Chris Duarte,2022-23,IND,1,19.5,1.2507651364879222,3936960.0
Jeff Green,2022-23,DEN,4,19.5,2.265379027834708,4500000.0
Tre Mann,2022-23,OKC,4,17.7,2.687411579833117,3046200.0
Pat Connaughton,2022-23,MIL,4,23.7,2.561507887725335,5728393.0
Joe Harris,2022-23,BKN,5,20.6,3.036186689244753,18642857.0
Trey Lyles,2022-23,SAC,4,16.9,2.759508908204176,2625000.0
T.J. Warren,2022-23,PHX,5,16.4,2.43742133001518,2628597.0
Torrey Craig,2022-23,PHX,0,24.7,2.678102804464048,5121951.0
Obi Toppin,2022-23,NYK,0,15.7,2.2550083746162235,5348280.0
Trendon Watford,2022-23,POR,0,19.1,2.137302819368073,1563518.0
Devonte' Graham,2022-23,SAS,4,18.3,2.954814120266474,11550000.0
Delon Wright,2022-23,WAS,5,24.4,2.11881853764294,7804878.0
Mitchell Robinson,2022-23,NYK,4,26.9,2.166278084221172,17045454.0
Josh Okogie,2022-23,PHX,4,18.8,2.2897432000597284,1968175.0
Isaiah Jackson,2022-23,IND,1,16.5,1.7661077899605448,2573760.0
Reggie Bullock Jr.,2022-23,DAL,4,30.3,2.7632716216809463,10012800.0
Edmond Sumner,2022-23,BKN,0,13.9,2.293436768434743,1968175.0
Troy Brown Jr.,2022-23,LAL,0,24.5,2.2459869166602604,1968175.0
Kendrick Nunn,2022-23,WAS,4,13.8,1.936160944028896,5250000.0
Kevon Looney,2022-23,GSW,4,23.9,3.361734968078484,8000000.0
Xavier Tillman,2022-23,MEM,1,19.3,2.3810530050340346,1782621.0
Ben Simmons,2022-23,BKN,4,26.3,2.401465483613328,35448672.0
Romeo Langford,2022-23,SAS,0,19.6,1.5590251906896184,5634257.0
Joe Ingles,2022-23,MIL,5,22.7,2.0269493920435924,6479000.0
Cory Joseph,2022-23,DET,1,19.8,2.6932608098943103,5155500.0
Ty Jerome,2022-23,GSW,5,18.1,1.5678131041473058,4728948.0
Aaron Wiggins,2022-23,OKC,1,18.5,2.763591123084725,1563518.0
Jeremiah Robinson-Earl,2022-23,OKC,2,18.9,2.39316754806715,2000000.0
Larry Nance Jr.,2022-23,NOP,0,21.2,2.8878144041802125,9672727.0
Will Barton,2022-23,TOR,5,17.7,1.8672184458082928,15059712.0
Terence Davis,2022-23,SAC,1,13.1,2.7355795910398504,4000000.0
Theo Maledon,2022-23,CHA,4,19.4,1.7231382704192653,2408891.0
Anthony Lamb,2022-23,GSW,4,19.3,2.0640810161491987,694878.0
Dwight Powell,2022-23,DAL,4,19.2,2.1841641796290423,11080125.0
David Roddy,2022-23,MEM,4,18.0,2.2999708289526137,2588640.0
