,PLAYER,SEASON,TEAM,Cluster,MIN
1666,Danny Granger,2006-07,IND,1,34.0
1667,Cuttino Mobley,2006-07,LAC,1,36.4
1668,Desmond Mason,2006-07,NOK,3,34.3
1669,Charlie Bell,2006-07,MIL,1,34.7
1670,Chris Wilcox,2006-07,SEA,3,31.5
1671,Andre Miller,2006-07,PHI,2,37.1
1672,Hedo Turkoglu,2006-07,ORL,1,31.1
1673,Rafer Alston,2006-07,HOU,1,37.1
1674,Chucky Atkins,2006-07,MEM,1,27.5
1675,Marvin Williams,2006-07,ATL,1,34.0
1676,Jason Kidd,2006-07,NJN,2,36.7
1677,JR Smith,2006-07,DEN,1,23.4
1678,Josh Childress,2006-07,ATL,1,36.8
1679,Jameer Nelson,2006-07,ORL,1,30.3
1680,Quentin Richardson,2006-07,NYK,1,33.1
1681,Jamaal Tinsley,2006-07,IND,1,31.1
1682,Mike Dunleavy,2006-07,IND,1,31.5
1683,Hakim Warrick,2006-07,MEM,3,26.2
1684,Anthony Parker,2006-07,TOR,1,33.4
1685,Rasheed Wallace,2006-07,DET,1,32.3
1686,Mark Blount,2006-07,MIN,3,31.0
1687,Sam Cassell,2006-07,LAC,1,24.3
1688,Andrew Bogut,2006-07,MIL,3,34.2
1689,Delonte West,2006-07,BOS,1,32.2
1690,Nene,2006-07,DEN,1,26.8
1691,Zaza Pachulia,2006-07,ATL,1,28.1
1692,Matt Carroll,2006-07,CHA,1,26.1
1693,Ryan Gomes,2006-07,BOS,2,31.2
1694,Jerry Stackhouse,2006-07,DAL,1,24.1
1695,Jarrett Jack,2006-07,POR,1,33.6
1696,Zydrunas Ilgauskas,2006-07,CLE,3,27.3
1697,Adam Morrison,2006-07,CHA,1,29.8
1698,Matt Harpring,2006-07,UTA,3,25.5
1699,Andrea Bargnani,2006-07,TOR,1,25.1
1700,Devin Brown,2006-07,NOK,1,28.7
1701,Luke Walton,2006-07,LAL,1,33.0
1702,Tyronn Lue,2006-07,ATL,0,26.6
1703,Willie Green,2006-07,PHI,1,24.9
1704,Steve Francis,2006-07,NYK,1,28.1
1705,DeShawn Stevenson,2006-07,WAS,1,29.5
1706,Marcus Camby,2006-07,DEN,3,33.8
1707,Chris Webber,2006-07,DET,1,29.8
1708,Mickael Pietrus,2006-07,GSW,0,26.9
1709,Drew Gooden,2006-07,CLE,3,28.0
1710,Smush Parker,2006-07,LAL,1,30.0
1711,Tim Thomas,2006-07,LAC,1,27.0
1712,Luke Ridnour,2006-07,SEA,1,29.5
1713,Luther Head,2006-07,HOU,1,27.6
1714,Jason Kapono,2006-07,MIA,0,26.4
1715,Jason Williams,2006-07,MIA,1,30.6
1716,Rudy Gay,2006-07,MEM,0,27.0
1717,Samuel Dalembert,2006-07,PHI,3,30.9
1718,David Lee,2006-07,NYK,3,29.8
1719,Udonis Haslem,2006-07,MIA,3,31.4
1720,Bobby Jackson,2006-07,NOK,0,23.7
1721,Gerald Green,2006-07,BOS,0,22.0
1722,Troy Murphy,2006-07,IND,0,27.2
1723,Devin Harris,2006-07,DAL,1,26.0
1724,Randy Foye,2006-07,MIN,1,22.9
1725,Shane Battier,2006-07,HOU,1,36.4
1726,Rasual Butler,2006-07,NOK,0,27.4
1727,Mike James,2006-07,MIN,1,25.2
1728,Nate Robinson,2006-07,NYK,0,21.2
1729,Derek Fisher,2006-07,UTA,1,27.9
1730,Chris Kaman,2006-07,LAC,3,29.0
1731,Shareef Abdur-Rahim,2006-07,SAC,3,25.2
1732,Mikki Moore,2006-07,NJN,3,26.3
1733,Matt Barnes,2006-07,GSW,0,23.9
1734,Boris Diaw,2006-07,PHX,2,31.1
1735,Juwan Howard,2006-07,HOU,3,26.5
1736,Nick Collison,2006-07,SEA,3,29.0
1737,Travis Outlaw,2006-07,POR,0,22.9
1738,Juan Dixon,2006-07,TOR,1,23.8
1739,Andris Biedrins,2006-07,GSW,3,29.1
1740,Channing Frye,2006-07,NYK,0,26.3
1741,Tyson Chandler,2006-07,NOK,3,34.6
1742,Earl Watson,2006-07,SEA,1,27.9
1743,Shaun Livingston,2006-07,LAC,0,29.8
1744,Walter Herrmann,2006-07,CHA,0,19.5
1745,Jannero Pargo,2006-07,NOK,0,20.9
1746,Bostjan Nachbar,2006-07,NJN,0,20.2
1747,Corliss Williamson,2006-07,SAC,3,19.7
1748,Brevin Knight,2006-07,CHA,1,28.3
1749,Michael Finley,2006-07,SAS,0,22.2
1750,Brad Miller,2006-07,SAC,2,28.3
1751,Sasha Pavlovic,2006-07,CLE,1,22.9
1752,LaMarcus Aldridge,2006-07,POR,3,22.1
1753,Morris Peterson,2006-07,TOR,0,21.3
1754,Trevor Ariza,2006-07,ORL,3,22.4
1755,Damien Wilkins,2006-07,SEA,0,24.8
1756,Jose Calderon,2006-07,TOR,0,21.0
1757,Alonzo Mourning,2006-07,MIA,3,20.4
1758,Joe Smith,2006-07,PHI,3,23.1
1759,John Salmons,2006-07,SAC,2,27.0
1760,Brent Barry,2006-07,SAS,0,21.7
1761,Jorge Garbajosa,2006-07,TOR,1,28.5
1762,Antoine Walker,2006-07,MIA,1,23.3
1763,Kwame Brown,2006-07,LAL,3,27.6
1764,Maurice Evans,2006-07,LAL,0,22.8
1765,Ime Udoka,2006-07,POR,0,28.6
1766,Eddie House,2006-07,NJN,0,16.9
1767,Andrei Kirilenko,2006-07,UTA,1,29.3
1768,Antonio McDyess,2006-07,DET,3,21.1
1769,Darko Milicic,2006-07,ORL,3,23.9
1770,Derek Anderson,2006-07,CHA,1,23.8
1771,Keyon Dooling,2006-07,ORL,0,21.7
1772,Gordan Giricek,2006-07,UTA,0,19.5
1773,Andrew Bynum,2006-07,LAL,3,21.9
1774,Stromile Swift,2006-07,MEM,3,19.1
1775,James Posey,2006-07,MIA,1,27.0
1776,Salim Stoudamire,2006-07,ATL,0,17.0
1777,Eddie Jones,2006-07,MIA,0,24.9
1778,Tarence Kinsey,2006-07,MEM,0,20.1
1779,Carlos Arroyo,2006-07,ORL,0,18.1
1780,Linas Kleiza,2006-07,DEN,0,18.8
1781,Damon Stoudamire,2006-07,MEM,1,24.2
1782,Dahntay Jones,2006-07,MEM,3,21.4
1783,Craig Smith,2006-07,MIN,3,18.7
1784,Marc Jackson,2006-07,NOK,0,18.3
1785,Jarvis Hayes,2006-07,WAS,0,20.1
1786,Chris Duhon,2006-07,CHI,1,24.4
1787,Antonio Daniels,2006-07,WAS,0,22.0
1788,Marquis Daniels,2006-07,IND,0,17.8
1789,Kelenna Azubuike,2006-07,GSW,0,16.3
1790,Erick Dampier,2006-07,DAL,3,25.2
1791,Martell Webster,2006-07,POR,0,21.5
1792,Donyell Marshall,2006-07,CLE,0,16.8
1793,Brian Cook,2006-07,LAL,0,15.7
1794,Paul Millsap,2006-07,UTA,3,18.0
1795,Marcus Williams,2006-07,NJN,0,16.6
1796,Anderson Varejao,2006-07,CLE,3,23.9
1797,Flip Murray,2006-07,DET,0,21.4
1798,Trenton Hassell,2006-07,MIN,0,29.2
1799,Brendan Haywood,2006-07,WAS,3,22.6
1800,Eduardo Najera,2006-07,DEN,0,22.1
1801,Rodney Carney,2006-07,PHI,0,17.4
1802,Vladimir Radmanovic,2006-07,LAL,0,17.9
1803,Damon Jones,2006-07,CLE,0,19.5
1804,Fred Jones,2006-07,POR,0,20.9
1805,Jamaal Magloire,2006-07,POR,3,21.0
1806,Steve Blake,2006-07,DEN,0,27.1
1807,Steven Hunter,2006-07,PHI,3,22.9
1808,Rajon Rondo,2006-07,BOS,1,23.5
1809,Ben Wallace,2006-07,CHI,3,35.0
1810,James Jones,2006-07,PHX,0,18.1
1811,Joey Graham,2006-07,TOR,0,16.7
1812,Devean George,2006-07,DAL,0,21.4
1813,Bruce Bowen,2006-07,SAS,1,30.1
1814,Ike Diogu,2006-07,IND,3,12.9
1815,Johan Petro,2006-07,SEA,3,18.6
1816,Rasho Nesterovic,2006-07,TOR,3,21.0
1817,Allan Ray,2006-07,BOS,0,15.1
1818,Sebastian Telfair,2006-07,BOS,0,20.2
1819,Sarunas Jasikevicius,2006-07,GSW,0,15.4
1820,Tony Battie,2006-07,ORL,3,23.9
1821,Ersan Ilyasova,2006-07,MIL,0,14.7
1822,Etan Thomas,2006-07,WAS,3,19.2
1823,P.J. Brown,2006-07,CHI,3,20.2
1824,Francisco Garcia,2006-07,SAC,0,17.8
1825,JJ Redick,2006-07,ORL,0,14.8
1826,Dorell Wright,2006-07,MIA,0,19.6
1827,Darrell Armstrong,2006-07,IND,0,15.7
1828,Chuck Hayes,2006-07,HOU,3,22.0
1829,Nazr Mohammed,2006-07,DET,3,15.2
1830,Shelden Williams,2006-07,ATL,3,18.7
1831,Kenny Thomas,2006-07,SAC,3,22.8
1832,Ronny Turiaf,2006-07,LAL,3,15.1
1833,Marko Jaric,2006-07,MIN,0,22.2
1834,Anthony Johnson,2006-07,ATL,0,19.4
1835,Gary Payton,2006-07,MIA,0,22.1
1836,Speedy Claxton,2006-07,ATL,0,25.1
1837,Lawrence Roberts,2006-07,MEM,3,17.9
1838,Quinton Ross,2006-07,LAC,0,21.0
1839,Carlos Delfino,2006-07,DET,0,16.7
1840,Tyrus Thomas,2006-07,CHI,3,13.4
1841,Keith Bogans,2006-07,ORL,0,16.8
1842,Francisco Elson,2006-07,SAS,3,19.0
1843,Jason Maxiell,2006-07,DET,3,14.1
1844,Primoz Brezec,2006-07,CHA,0,14.5
1845,Reggie Evans,2006-07,DEN,3,17.1
1846,Lindsey Hunter,2006-07,DET,0,14.3
1847,Renaldo Balkman,2006-07,NYK,3,15.6
1848,Marcus Banks,2006-07,PHX,0,11.2
1849,Matt Bonner,2006-07,SAS,0,11.7
1850,Keith McLeod,2006-07,IND,0,15.0
1851,Dan Gadzuric,2006-07,MIL,3,15.6
1852,Beno Udrih,2006-07,SAS,0,13.0
1853,Ronnie Brewer,2006-07,UTA,0,12.1
1854,Daniel Gibson,2006-07,CLE,0,16.5
1855,Kurt Thomas,2006-07,PHX,3,18.0
1856,Mickael Gelabale,2006-07,SEA,0,17.7
1857,Mardy Collins,2006-07,NYK,0,14.9
1858,Kendrick Perkins,2006-07,BOS,3,21.9
1859,Antoine Wright,2006-07,NJN,0,18.1
1860,Jordan Farmar,2006-07,LAL,0,15.1
1861,Yakhouba Diawara,2006-07,DEN,0,18.4
1862,Fabricio Oberto,2006-07,SAS,3,17.3
1863,Alexander Johnson,2006-07,MEM,0,12.8
1864,Brian Skinner,2006-07,MIL,3,22.7
1865,Jake Voskuhl,2006-07,CHA,0,14.3
1866,Lou Williams,2006-07,PHI,0,11.3
1867,Jeff Foster,2006-07,IND,3,23.2
1868,Sasha Vujacic,2006-07,LAL,0,12.8
1869,Leon Powe,2006-07,BOS,0,11.4
1870,Linton Johnson,2006-07,NOK,0,13.3
1871,Eric Snow,2006-07,CLE,0,23.5
1872,Josh Boone,2006-07,NJN,0,11.0
1873,Lynn Greer,2006-07,MIL,0,10.5
1874,Clifford Robinson,2006-07,NJN,0,19.1
1875,Jared Jeffries,2006-07,NYK,3,23.8
1876,Malik Allen,2006-07,CHI,0,10.6
1877,Greg Buckner,2006-07,DAL,0,18.0
1878,Brian Scalabrine,2006-07,BOS,0,19.0
1879,Robert Horry,2006-07,SAS,0,16.5
1880,Shawne Williams,2006-07,IND,0,12.1
1881,Kris Humphries,2006-07,TOR,0,11.2
1882,Kevin Ollie,2006-07,PHI,0,17.3
1883,Austin Croshere,2006-07,DAL,0,11.9
1884,Sergio Rodriguez,2006-07,POR,0,12.9
1885,Andray Blatche,2006-07,WAS,0,12.2
1886,Mike Wilks,2006-07,SEA,0,11.4
1887,Thabo Sefolosha,2006-07,CHI,0,12.2
1888,Michael Doleac,2006-07,MIA,0,12.5
1889,Chris Quinn,2006-07,MIA,0,9.7
1890,Dan Dickau,2006-07,POR,0,8.9
1891,Ronnie Price,2006-07,SAC,0,9.7
1892,John Lucas III,2006-07,HOU,0,8.2
1893,Solomon Jones,2006-07,ATL,0,11.5
1894,Michael Sweetney,2006-07,CHI,0,8.0
1895,Hilton Armstrong,2006-07,NOK,0,11.3
1896,Dikembe Mutombo,2006-07,HOU,0,17.2
1897,Jacque Vaughn,2006-07,SAS,0,11.9
1898,Royal Ivey,2006-07,ATL,0,10.2
1899,Malik Rose,2006-07,NYK,0,12.5
1900,Maceo Baston,2006-07,IND,0,8.6
1901,Daniel Ewing,2006-07,LAC,0,11.7
1902,Cedric Simmons,2006-07,NOK,0,12.4
1903,Hassan Adams,2006-07,NJN,0,8.1
1904,Quincy Douby,2006-07,SAC,0,8.6
1905,David Noel,2006-07,MIL,0,11.6
1906,Donell Taylor,2006-07,WAS,0,7.8
1907,Roger Mason Jr.,2006-07,WAS,0,7.9
1908,Justin Reed,2006-07,MIN,0,7.8
1909,Lorenzen Wright,2006-07,ATL,0,15.5
1910,Adrian Griffin,2006-07,CHI,0,10.8
1911,Bobby Jones,2006-07,PHI,0,7.6
1912,Jarron Collins,2006-07,UTA,0,11.1
1913,DeSagana Diop,2006-07,DAL,0,18.3
1914,Adonal Foyle,2006-07,GSW,0,9.9
1915,Jason Collins,2006-07,NJN,3,23.0
1916,Bo Outlaw,2006-07,ORL,0,11.2
1917,Joel Przybilla,2006-07,POR,0,16.3
1918,Dee Brown,2006-07,UTA,0,9.2
1919,Jerome James,2006-07,NYK,0,6.7
1920,Dale Davis,2006-07,DET,0,10.1
1921,James Singleton,2006-07,LAC,0,7.1
1922,Calvin Booth,2006-07,WAS,0,8.6
1923,Orien Greene,2006-07,IND,0,6.2
1924,Mark Madsen,2006-07,MIN,0,8.5
1925,LeBron James,2007-08,CLE,2,40.4
1926,Kobe Bryant,2007-08,LAL,1,38.9
1927,Allen Iverson,2007-08,DEN,1,41.8
1928,Carmelo Anthony,2007-08,DEN,1,36.4
1929,Amar'e Stoudemire,2007-08,PHX,1,33.9
1930,Dwyane Wade,2007-08,MIA,1,38.3
1931,Kevin Martin,2007-08,SAC,1,36.3
1932,Dirk Nowitzki,2007-08,DAL,2,36.0
1933,Michael Redd,2007-08,MIL,1,37.5
1934,Richard Jefferson,2007-08,NJN,1,39.0
1935,Chris Bosh,2007-08,TOR,1,36.2
1936,Corey Maggette,2007-08,LAC,1,35.7
1937,Yao Ming,2007-08,HOU,1,37.2
1938,Baron Davis,2007-08,GSW,2,39.0
1939,Jason Richardson,2007-08,CHA,1,38.4
1940,Joe Johnson,2007-08,ATL,1,40.8
1941,Tracy McGrady,2007-08,HOU,2,37.0
1942,Antawn Jamison,2007-08,WAS,1,38.7
1943,Vince Carter,2007-08,NJN,1,38.9
1944,Carlos Boozer,2007-08,UTA,2,34.9
1945,Chris Paul,2007-08,NOH,2,37.6
1946,Al Jefferson,2007-08,MIN,1,35.6
1947,Dwight Howard,2007-08,ORL,1,37.7
1948,David West,2007-08,NOH,1,37.8
1949,Jamal Crawford,2007-08,NYK,1,39.9
1950,Metta World Peace,2007-08,SAC,1,38.1
1951,Caron Butler,2007-08,WAS,2,39.9
1952,Kevin Durant,2007-08,SEA,1,34.6
1953,Monta Ellis,2007-08,GSW,1,37.9
1954,Rudy Gay,2007-08,MEM,1,37.0
1955,Stephen Jackson,2007-08,GSW,1,39.1
1956,Josh Howard,2007-08,DAL,1,36.3
1957,Andre Iguodala,2007-08,PHI,1,39.5
1958,Paul Pierce,2007-08,BOS,1,35.9
1959,Danny Granger,2007-08,IND,1,35.9
1960,Hedo Turkoglu,2007-08,ORL,2,36.9
1961,Manu Ginobili,2007-08,SAS,1,31.1
1962,Gerald Wallace,2007-08,CHA,1,38.3
1963,Tim Duncan,2007-08,SAS,1,34.0
1964,Brandon Roy,2007-08,POR,2,37.7
1965,Mike Dunleavy,2007-08,IND,1,36.0
1966,Pau Gasol,2007-08,LAL,1,35.6
1967,Deron Williams,2007-08,UTA,1,37.3
1968,Kevin Garnett,2007-08,BOS,1,32.8
1969,Tony Parker,2007-08,SAS,1,33.5
1970,Ben Gordon,2007-08,CHI,1,31.8
1971,Rashard Lewis,2007-08,ORL,1,38.0
1972,LaMarcus Aldridge,2007-08,POR,1,34.9
1973,Zach Randolph,2007-08,NYK,1,32.5
1974,Ray Allen,2007-08,BOS,1,35.9
1975,Richard Hamilton,2007-08,DET,1,33.7
1976,Mo Williams,2007-08,MIL,1,36.5
1977,Josh Smith,2007-08,ATL,2,35.5
1978,Andre Miller,2007-08,PHI,1,36.8
1979,Luol Deng,2007-08,CHI,1,33.8
1980,Chauncey Billups,2007-08,DET,1,32.3
1981,Steve Nash,2007-08,PHX,1,34.3
1982,Peja Stojakovic,2007-08,NOH,1,35.2
1983,Mike Miller,2007-08,MEM,1,35.3
1984,Chris Kaman,2007-08,LAC,1,37.2
1985,Leandro Barbosa,2007-08,PHX,1,29.5
1986,Jason Terry,2007-08,DAL,1,31.4
1987,Shawn Marion,2007-08,MIA,1,36.7
1988,Rashad McCants,2007-08,MIN,1,26.9
1989,Marvin Williams,2007-08,ATL,1,34.6
1990,Devin Harris,2007-08,NJN,1,31.6
1991,Mehmet Okur,2007-08,UTA,1,33.2
1992,Raymond Felton,2007-08,CHA,1,37.6
1993,Andrew Bogut,2007-08,MIL,1,34.9
1994,Lamar Odom,2007-08,LAL,2,37.9
1995,Zydrunas Ilgauskas,2007-08,CLE,3,30.4
1996,Mike Bibby,2007-08,ATL,1,32.8
1997,Emeka Okafor,2007-08,CHA,1,33.1
1998,Ricky Davis,2007-08,MIA,1,36.1
1999,Shaquille O'Neal,2007-08,PHX,3,28.7
2000,Al Harrington,2007-08,GSW,1,27.0
2001,Jermaine O'Neal,2007-08,IND,1,28.7
2002,Brad Miller,2007-08,SAC,1,34.9
2003,Chris Wilcox,2007-08,SEA,3,28.0
2004,Travis Outlaw,2007-08,POR,1,26.7
2005,Eddy Curry,2007-08,NYK,3,25.9
2006,Andres Nocioni,2007-08,CHI,1,24.6
2007,Tayshaun Prince,2007-08,DET,1,32.9
2008,Grant Hill,2007-08,PHX,1,31.7
2009,Rafer Alston,2007-08,HOU,1,34.1
2010,Beno Udrih,2007-08,SAC,1,32.0
2011,Cuttino Mobley,2007-08,LAC,1,35.1
2012,Al Thornton,2007-08,LAC,0,27.3
2013,Rasheed Wallace,2007-08,DET,1,30.5
2014,Nate Robinson,2007-08,NYK,1,26.2
2015,Ryan Gomes,2007-08,MIN,1,29.7
2016,John Salmons,2007-08,SAC,1,31.1
2017,Anthony Parker,2007-08,TOR,1,32.1
2018,Willie Green,2007-08,PHI,1,26.6
2019,Tim Thomas,2007-08,LAC,1,30.8
2020,Kenyon Martin,2007-08,DEN,3,30.4
2021,Francisco Garcia,2007-08,SAC,1,26.5
2022,JR Smith,2007-08,DEN,0,19.2
2023,Troy Murphy,2007-08,IND,1,28.1
2024,Larry Hughes,2007-08,CHI,1,29.7
2025,T.J. Ford,2007-08,TOR,1,23.5
2026,Ronnie Brewer,2007-08,UTA,1,27.5
2027,Udonis Haslem,2007-08,MIA,3,36.8
2028,Drew Gooden,2007-08,CHI,1,30.7
2029,Raja Bell,2007-08,PHX,1,35.3
2030,Josh Childress,2007-08,ATL,3,29.9
2031,Tyson Chandler,2007-08,NOH,1,35.2
2032,Derek Fisher,2007-08,LAL,1,27.4
2033,Charlie Villanueva,2007-08,MIL,1,24.1
2034,Lou Williams,2007-08,PHI,1,23.3
2035,Kirk Hinrich,2007-08,CHI,2,31.7
2036,Wally Szczerbiak,2007-08,CLE,1,23.2
2037,Hakim Warrick,2007-08,MEM,3,23.4
2038,Jose Calderon,2007-08,TOR,1,30.3
2039,Sam Cassell,2007-08,BOS,1,23.2
2040,DeShawn Stevenson,2007-08,WAS,1,31.3
2041,Linas Kleiza,2007-08,DEN,1,23.9
2042,Andrei Kirilenko,2007-08,UTA,2,30.8
2043,Jameer Nelson,2007-08,ORL,1,28.4
2044,Juan Carlos Navarro,2007-08,MEM,0,25.8
2045,David Lee,2007-08,NYK,3,29.1
2046,Jason Kidd,2007-08,DAL,2,36.3
2047,Earl Watson,2007-08,SEA,2,29.1
2048,Jerry Stackhouse,2007-08,DAL,1,24.4
2049,Martell Webster,2007-08,POR,0,28.4
2050,Brendan Haywood,2007-08,WAS,3,27.8
2051,Rajon Rondo,2007-08,BOS,1,29.9
2052,Samuel Dalembert,2007-08,PHI,3,33.2
2053,Jeff Green,2007-08,SEA,0,28.2
2054,Andris Biedrins,2007-08,GSW,3,27.3
2055,Daniel Gibson,2007-08,CLE,1,30.4
2056,Luis Scola,2007-08,HOU,3,24.7
2057,Andrea Bargnani,2007-08,TOR,1,23.9
2058,Al Horford,2007-08,ATL,1,31.4
2059,Joe Smith,2007-08,CLE,3,22.4
2060,Michael Finley,2007-08,SAS,0,26.9
2061,Jarrett Jack,2007-08,POR,1,27.2
2062,Kyle Korver,2007-08,UTA,1,23.1
2063,Bostjan Nachbar,2007-08,NJN,0,22.1
2064,Nick Collison,2007-08,SEA,3,28.5
2065,Desmond Mason,2007-08,MIL,3,28.8
2066,Kyle Lowry,2007-08,MEM,1,25.5
2067,Craig Smith,2007-08,MIN,3,20.1
2068,Flip Murray,2007-08,IND,0,20.8
2069,Mike Conley,2007-08,MEM,1,26.1
2070,Shane Battier,2007-08,HOU,1,36.3
2071,Sebastian Telfair,2007-08,MIN,1,32.2
2072,Damien Wilkins,2007-08,SEA,1,24.3
2073,Jordan Farmar,2007-08,LAL,0,20.6
2074,Marcus Camby,2007-08,DEN,2,34.9
2075,Bonzi Wells,2007-08,NOH,1,21.4
2076,Roger Mason Jr.,2007-08,WAS,0,21.3
2077,Carlos Delfino,2007-08,TOR,1,23.5
2078,Matt Carroll,2007-08,CHA,0,25.2
2079,Maurice Evans,2007-08,ORL,0,22.9
2080,Boris Diaw,2007-08,PHX,3,28.1
2081,Daequan Cook,2007-08,MIA,0,24.4
2082,Sasha Vujacic,2007-08,LAL,0,17.8
2083,Jason Williams,2007-08,MIA,1,28.2
2084,Antonio McDyess,2007-08,DET,3,29.3
2085,Keith Bogans,2007-08,ORL,0,26.8
2086,Yi Jianlian,2007-08,MIL,0,24.9
2087,Kelenna Azubuike,2007-08,GSW,0,21.4
2088,Steve Blake,2007-08,POR,1,29.9
2089,Mikki Moore,2007-08,SAC,3,29.1
2090,Jamario Moon,2007-08,TOR,1,27.8
2091,Mark Blount,2007-08,MIA,3,22.3
2092,Antonio Daniels,2007-08,WAS,1,30.4
2093,Vladimir Radmanovic,2007-08,LAL,0,22.8
2094,Delonte West,2007-08,CLE,1,25.1
2095,Kareem Rush,2007-08,IND,0,21.2
2096,Marko Jaric,2007-08,MIN,1,29.2
2097,Brandon Bass,2007-08,DAL,3,19.7
2098,Thaddeus Young,2007-08,PHI,3,21.0
2099,Josh Boone,2007-08,NJN,3,25.3
2100,Marquis Daniels,2007-08,IND,0,20.9
2101,Matt Harpring,2007-08,UTA,3,18.1
2102,Carl Landry,2007-08,HOU,3,16.9
2103,Quentin Richardson,2007-08,NYK,0,28.3
2104,Keyon Dooling,2007-08,ORL,0,18.5
2105,Paul Millsap,2007-08,UTA,3,20.8
2106,Jannero Pargo,2007-08,NOH,0,18.7
2107,Antoine Walker,2007-08,MIN,0,19.4
2108,Morris Peterson,2007-08,NOH,0,23.6
2109,James Jones,2007-08,POR,0,22.0
2110,Leon Powe,2007-08,BOS,3,14.5
2111,Jason Maxiell,2007-08,DET,3,21.6
2112,Dorell Wright,2007-08,MIA,0,25.1
2113,Nazr Mohammed,2007-08,CHA,3,20.1
2114,Anthony Carter,2007-08,DEN,1,28.0
2115,Rasho Nesterovic,2007-08,TOR,3,20.9
2116,Chris Quinn,2007-08,MIA,0,22.3
2117,Bobby Jackson,2007-08,HOU,0,19.3
2118,Rodney Stuckey,2007-08,DET,0,19.0
2119,Luther Head,2007-08,HOU,0,18.9
2120,Fred Jones,2007-08,NYK,0,25.1
2121,Bobby Simmons,2007-08,MIL,0,21.7
2122,Charlie Bell,2007-08,MIL,1,23.9
2123,Andray Blatche,2007-08,WAS,3,20.4
2124,Devin Brown,2007-08,CLE,0,22.6
2125,Eddie House,2007-08,BOS,0,19.0
2126,Nick Young,2007-08,WAS,0,15.4
2127,Sasha Pavlovic,2007-08,CLE,0,23.3
2128,James Posey,2007-08,BOS,1,24.6
2129,Luke Walton,2007-08,LAL,1,23.4
2130,Darko Milicic,2007-08,MEM,3,23.8
2131,Jason Kapono,2007-08,TOR,0,18.9
2132,Mickael Pietrus,2007-08,GSW,0,19.9
2133,Earl Barron,2007-08,MIA,3,19.3
2134,Kendrick Perkins,2007-08,BOS,3,24.5
2135,Carlos Arroyo,2007-08,ORL,0,20.5
2136,Travis Diener,2007-08,IND,0,20.5
2137,Channing Frye,2007-08,POR,3,17.2
2138,Tyrus Thomas,2007-08,CHI,3,18.0
2139,Jarvis Hayes,2007-08,DET,0,15.7
2140,Thabo Sefolosha,2007-08,CHI,0,20.8
2141,Shawne Williams,2007-08,IND,0,14.9
2142,Anderson Varejao,2007-08,CLE,3,27.5
2143,Matt Barnes,2007-08,GSW,0,19.4
2144,Nenad Krstic,2007-08,NJN,3,18.0
2145,Ronny Turiaf,2007-08,LAL,3,18.7
2146,Joakim Noah,2007-08,CHI,3,20.7
2147,Tony Allen,2007-08,BOS,1,18.3
2148,Damon Jones,2007-08,CLE,0,19.9
2149,Luke Ridnour,2007-08,SEA,0,20.0
2150,Jeff Foster,2007-08,IND,3,24.5
2151,Kurt Thomas,2007-08,SAS,3,22.6
2152,Antoine Wright,2007-08,DAL,0,22.0
2153,Darius Songaila,2007-08,WAS,0,19.4
2154,Stromile Swift,2007-08,NJN,3,15.1
2155,Erick Dampier,2007-08,DAL,3,24.4
2156,Johan Petro,2007-08,SEA,3,18.2
2157,Bruce Bowen,2007-08,SAS,0,30.2
2158,Eduardo Najera,2007-08,DEN,1,21.3
2159,Marcus Williams,2007-08,NJN,0,16.1
2160,Rodney Carney,2007-08,PHI,0,14.8
2161,Chris Duhon,2007-08,CHI,0,22.6
2162,Corey Brewer,2007-08,MIN,3,22.8
2163,Gordan Giricek,2007-08,PHX,0,14.8
2164,Tyronn Lue,2007-08,DAL,0,14.7
2165,Ime Udoka,2007-08,SAS,0,18.0
2166,Jared Dudley,2007-08,CHA,3,19.0
2167,Kris Humphries,2007-08,TOR,3,13.2
2168,Anthony Johnson,2007-08,SAC,0,22.2
2169,Sean Williams,2007-08,NJN,3,17.5
2170,Royal Ivey,2007-08,MIL,0,19.2
2171,Javaris Crittenton,2007-08,MEM,0,13.6
2172,Josh Powell,2007-08,LAC,3,19.2
2173,Damon Stoudamire,2007-08,SAS,0,17.3
2174,Dan Dickau,2007-08,LAC,0,15.5
2175,Reggie Evans,2007-08,PHI,3,23.2
2176,Zaza Pachulia,2007-08,ATL,3,15.2
2177,Aaron Brooks,2007-08,HOU,0,11.9
2178,Mike James,2007-08,NOH,0,13.3
2179,Juan Dixon,2007-08,DET,0,12.6
2180,CJ Miles,2007-08,UTA,0,11.5
2181,Rasual Butler,2007-08,NOH,0,17.2
2182,Fabricio Oberto,2007-08,SAS,3,20.0
2183,Ben Wallace,2007-08,CLE,3,30.6
2184,Joel Przybilla,2007-08,POR,3,23.6
2185,Matt Bonner,2007-08,SAS,0,12.5
2186,Quincy Douby,2007-08,SAC,0,11.8
2187,Spencer Hawes,2007-08,SAC,0,13.1
2188,Brian Cook,2007-08,ORL,0,12.3
2189,Malik Allen,2007-08,DAL,0,15.0
2190,Brevin Knight,2007-08,LAC,0,22.6
2191,Glen Davis,2007-08,BOS,3,13.6
2192,Jeff McInnis,2007-08,CHA,0,26.1
2193,Jason Smith,2007-08,PHI,0,14.6
2194,J.J. Barea,2007-08,DAL,0,10.5
2195,Aaron Gray,2007-08,CHI,0,10.0
2196,Acie Law,2007-08,ATL,0,15.5
2197,David Harrison,2007-08,IND,0,12.8
